        X             RHO          U          P            E    
   0.1675E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.1725E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.1775E-01   0.1000E+01   0.9132E-16   0.1000E+01   0.1500E+01
   0.1825E-01   0.1000E+01   0.9147E-16   0.1000E+01   0.1500E+01
   0.1875E-01   0.1000E+01   0.9155E-16   0.1000E+01   0.1500E+01
   0.1925E-01   0.1000E+01   0.9162E-16   0.1000E+01   0.1500E+01
   0.1975E-01   0.1000E+01   0.9133E-16   0.1000E+01   0.1500E+01
   0.2025E-01   0.1000E+01   0.9146E-16   0.1000E+01   0.1500E+01
   0.2075E-01   0.1000E+01   0.9154E-16   0.1000E+01   0.1500E+01
   0.2125E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.2175E-01   0.1000E+01   0.9137E-16   0.1000E+01   0.1500E+01
   0.2225E-01   0.1000E+01   0.9146E-16   0.1000E+01   0.1500E+01
   0.2275E-01   0.1000E+01   0.9153E-16   0.1000E+01   0.1500E+01
   0.2325E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.2375E-01   0.1000E+01   0.9144E-16   0.1000E+01   0.1500E+01
   0.2425E-01   0.1000E+01   0.9517E-16   0.1000E+01   0.1500E+01
   0.2475E-01   0.1000E+01   0.1795E-15   0.1000E+01   0.1500E+01
   0.2525E-01   0.1000E+01   0.9151E-16   0.1000E+01   0.1500E+01
   0.2575E-01   0.1000E+01   0.9136E-16   0.1000E+01   0.1500E+01
   0.2625E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.2675E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.2725E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.2775E-01   0.1000E+01   0.9132E-16   0.1000E+01   0.1500E+01
   0.2825E-01   0.1000E+01   0.9147E-16   0.1000E+01   0.1500E+01
