        X             RHO          U          P            E    
   0.3875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
